author;activity;bio
Juan Sinchi Roca;"1691-1708.";"Juan Sinchi Roca Inga nació  en la villa de Maras, Marquesado de Oropesa, actual Quispicanchi-Cusco. En 1691 junto con Juan Inca Raurahua o Rauraura se contrataron para hacer 4 docenas de lienzos en el plazo de 2 meses.  Entre 1699 y 1700, realizó varios cuadros para la Catedral del Cusco, destacan entre ellos: Los Cuatro Evangelistas, la obra que representa al Evangelista San Lucas está firmada: Antonio Sinche Roca Inga – pinto con Juan Inca Raurahua. En 1705 trabajó junto con el maestro indígena Felipe García para la Iglesia de Yucay, Urubamba-Cusco, un lienzo de La Cena, colocado en la parte interna del arco toral (arco principal) de dicha iglesia. En 1704 trabajó para la misma diócesis un lienzo del Juicio Final.

Fuente:  pintores peru



http://www.pintoresperu.com/historia-de-la-pintura"
Juan Tinoco;;"(1617-1699) Juan Tinoco fue un pintor mexicano.  Su estilo tenebrista se acerca al de Zurbarán. Sus cuadros eran fundamentalmente religiosos, con una gran precisión en el dibujo y sobrio colorido. Destaca el lienzo Santa Rosalía de la Iglesia de San Agustín y la Batalla Bíblica de la Catedral de Puebla, ciudad en la que desarrolló la mayor parte de su trabajo. Su abundante obra de tema religioso se caracteriza por el dominio del dibujo y la composición, así como por la sobriedad y firmeza de colorido. Destacan Batalla bíblica (catedral de Puebla), Santa Rosalía(iglesia de San Agustín, Puebla), El patrocinio de Nuestra Señora (iglesia de San Agustín) y un Apostolado (Academia de Puebla).

Fuente: la web de bografías

http://www.mcnbiografias.com/app-bio/do/show?key=tinoco-juan

"
Juan Visier;;
Juan y Nicolás Becerra;;
Juan Zapata Inca;;"De Juan Zapata Inca se conoce que fue seguidor de Basilio de Santa Cruz. Además que  intervino en un ciclo de pinturas sobre la vida de San Francisco de Asís (1684) destinada al convento franciscano de Santiago de Chile.

"
Julián Falla;;De  Julián Falla se conoce que fue un grabador mexicano con un interés por la arqueología maya. 
Julián Jayo ;"1760-1811

";"Julián Jayo fue un artista de origen trujillano, quien trabaja en Lima y que muestra un interesante estilo ornamental.



"
Laureano Dávila;;No se encuentran más datos biográficos que los referentes a su época de actividad y la filiación a la escuela de Quito.
Laureano de Barreda;;"De Laureano de Barreda se conoce que fue un pintor totalmente aislado que nació en Cuzco y de una sola obra por ahora titulada ""Huida a Egipto""

"
Laurent Dabos;;
Lawrence Sully;;"(1769-1804)

"
Lázaro Baldi ;;"

"
Lázaro Pardo de Cárdenas;;
Lázaro Pardo de Lagos;1630-;"Lázaro Pardo de Lagos fue un pintor y dorador de la escuela de pintura cuzqueña. 



"
Leandro Joaquín ;;"(1738-1798). Leandro Joaquim Pintor, escenógrafo, arquitecto . fue alumno del pintor João de Sousa en Río de Janeiro. Trabajó con el escultor Maestro de San Valentín en los dibujos y proyectos urbanos.  Sus pinturas impresionan con colorido y se encuentran entre las primeras vistas paisajes, el mar y la ciudad celebradas en el país por los brasileños.

Fuente: enciclopedia de  itau cultural

http://enciclopedia.itaucultural.org.br/pessoa23553/leandro-joaquim"
Leonardo Flores; 1683 – s.d;"(1650 – 1710) Pintor de la Paz, Bolivia. Trabajó entre los años 1683 y 1684  en la zona del lago Titicaca. Fue contemporáneo de Melchor Pérez de Holguín y se lo clasifica entre los propulsores del barroco mestizo. Hizo parte de la escuela de Collao. Según anotan Mesa/Gisbert: “su arte se desarrolla por toda la diócesis, bajo la protección del Obispo Queipo del Llano y Valdez. Flores pinta de acuerdo a los cánones del barroco imperante y afirma su personalidad artística con detalles típicos que lo caracterizan; profusión de adornos en los trajes, broches, piedra preciosas, turbantes…”. Teresa Villegas define que: “sus lienzos arrastran tardíamente el manierismo importado por Bitti y muestran el gusto del maestro por los rostros idealizados y las figuras esbeltas; su pintura anecdótica y detallista, de clara influencia flamenca, se caracteriza por la profusa ornamentación de sus personajes (ricas joyas, paños volantes muy bien logrados y un colorido de armonioso contraste) /…/ Es, en suma, la figura más representativa de la escuela paceña del último tercio del siglo XVII”. 

Fuente:http://elias-blanco.blogspot.com/2012/01/leonardo-flores.html"
Leonardo Jaramillo ; 1619- 1640;"(1630- 1711) Pintor sevillano que llega al Perú en la segunda década del siglo XVII. Fue clérigo de órdenes menores y probablemente se educó con Fracisco Pacheco. La mayoría de su trabajo se encuentra en Perú. En 1619  trabaja en Trujillo, luego en Cajamarca y Lima en el Convento de San Francisco. Se le atribuye colaboración en los murales del primer claustro, principalmente en el de ""La Porciúncula"", donde sus personajes, vestimentas y actitudes se asemejan a su única obra en Lima  ""La Imposición de la Casulla a San Ildefonso por la Virgen"". Esta última, que se encuentra en el Convento de los Descalzos franciscanos, está fechada (1636) y firmada. En 1711, fallece en Trujllo. 

Fuente: Paz Soldán Boza, Mariano Felipe. (). Panorama de la pintura virreinal peruana: Escuela Limeña.http://www.fecitantiguedades.com/artistas/detalle/10205/Jaramillo--Leonardo--Pintor-

"
Lewis Aubineau;"1799 - 1814

";"(s.d.) Miniaturista que vivió y produjo piezas de arte en Nueva York. También conocido como Lewis Obeno. Se desconoce su año de nacimiento y fallecimiento al igual que su procedencia. 

Fuente: http://americanart.si.edu/collections/search/artist/?id=162"
Lewis Peckham;1810- 1820;"(1788-1822) Pintor y miniaturista estadounidense. 

Fuente: http://collection.imamuseum.org/artwork/56130/index.html"
Liborio Lázaro Lial;1780-1784;"(s.d) Pintor brasileño. En 1772 se une a la Hermandad de Nuestra Señora del Rosario en Recife de Pernambuco (Brasil). 

Fuente: 

ARAUJO, Emanoel, org. La mano afro-brasileña: significado de la contribución artística e histórica. Prólogo por Joel Rufino dos Santos. Textos de José Roberto Teixeira Leite et al. São Paulo: Tenenge 1988."
Lorenzo de Leyba;;s.d.
Lorenzo de Ponte;; 
Lorenzo de Poveda;;s.d
Lorenzo Sánchez de Medina;1640;"(s.d) Pintor que residió en Cuzco. 

Fuente: 

http://colonialart.org/essays/el-grabado-como-fuente-del-arte-colonial-estado-de-la-cuestion"
Lorenzo Tiburcio de León;1730-1750;"Pintor que residió y trabajó en Oaxaca, México. Contrata como aprendiz a Mariano Canseco en 1778.

FUENTE:  Fátima Halcón “OAXACA: NOTICIAS DE ARTISTAS 1680-1780” http://archivoespañoldearte.revistas.csic.es. Universidad de Sevilla.

"
Lorenzo Zendejas;;"(s.d.-1830) Pintor de Puebla, México. Hijo del pintor Miguel Jerónimo Zendejas  (1724­1815). Se traslada a Ciudad de México pero al final de su vida se regresa a Puebla. Su obra se constituye, principalmente, de retratos encargados por familias burguesas de Ciudad de México.

FUENTE : Armas Nuñez, Jonás. “Un cuadro novohispano de la virgen de Guadaluoe firmado por Lorenzo Zendejas en la matanza de Acentejom Tenerife. En  XVII Coloquio de Historia Canario­Americana.  Biblioteca universitaria, 2009."
Louis Antoine Collas;(1798-1830);"(1775- 1856) Miniaturista nacido en Bourdeaux, Francia. Estudió en Paris la técnica de la miniatura. Más adelante se traslada a Nueva Orleans. En 1798, debutó en el Salón de París. Entre 1803 y 1811, reside en San Petersburgo, Rusia, en donde trabaja para la corte del zar Alejandro I. Se cree que fallece en Paris, en 1856.

Fuente: Lewis, Richard Anthony. En KnowLa Ecyclopedia de Louisiana, editado por David Johnson. Louisianan Endowment for Humanities, 12 sept 2012. http://www.knowla.org/entry/1154/%26view%3Dsummary  "
Louisa C. Strobel;1827- 1845;"(1803- 1883) Miniaturista nacida en Liverpool.  También conocida como  Mrs. Benjamin Martin. Llega a Estados Unidos en 1812, y regresa en 1830. Entre 1815-1830 vive en Bourdeaux, Francia. A partir de 1841 realiza, principalmente retratos de familia.

Fuente: Gibbes Museum of Art. 2013. Disponible en: http://www.gibbespeopleschoice.org/portfolioentry/self-portrait/

Shelton, Don. “3 American Miniature Portraits.” En: http://aminports3.blogspot.com/2011/01/strobel-louisa-caroline-portrait-of-ann.html"
Lourenço Veloso ;1699-1708;"(s.d.– 1708) Pintor nacido en Goa, India y radicado en Brasil. Veloso se educó en Lisboa. Sus obras dan cuenta de una educación europea y una posible familiarización con El Greco y Rembrandt. Fallece en Bahía en 1708.

Fuente:

Diccionário Manuel Querino de arte na Bahia. “Lourenço Veloso.” http://www.dicionario.belasartes.ufba.br/wp/verbete/lourenco-veloso/"
Luca Cambiasso;1547 – 1584. ;"(1527- 1585) Pintor italiano nacido en Génova y fallecido en Madrid. Hace parte del Renacimiento español. Fue conocido entre sus contemporáneos como Luchetto da Genova. Hijo del pintor Giovanni Cambiaso (1495-1579) que fue su primer maestro. Estudió a sus artistas contemporáneos como Perino del Vaga, Pordenone y Giulio Romano. Se cree que realizó un extenso viaje por Lombardía y que, probablemente, visitó Roma. La primera obra de su autoría está en el Palazzo Doria. Su estilo fue principalmente manierista, pero se considera, por su tendencia a la geometrización y a los efectos ilusionistas, uno de los precursores del movimiento contramaniera. Conocido por su gran actividad como decorador de los palacios de Génova, en 1583 fue llamado por Felipe II, para decorar la bóveda de la iglesia del Monasterio de El Escorial, muriendo a los dos años sin finalizar su obra. Trabajo que terminarán Zuccari y Tibaldi. 

Fuente:

 http://es.wikipedia.org/wiki/Luca_Cambiaso

https://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/cambiaso-luca-luqueto/"
Lucas Rodríguez;1684-s.d;(s.d) Pintor que residió y trabajó en en México. 
Luis Berger S. J.;1610- 1636;"(1588 – 1641) Pintor, misionero y músico nacido en Abbeville, Francia. Trabaja en París, Rouen y los Países Bajos al servicio del conde de Berlaimont y del duque de Aerschot. Fue enviado a Paraguay y en 1615 llegó a Buenos Aires, Argentina, en donde reside y trabaja el resto de su vida.  

Fuente: Grenón, P., ""Vida de un artista. H. Luis Berger, S.I. Estudios históricos"", Mensajero 4 (1920) 419-424, 527-532. Id., Una vida de artista. H. Luis Berger (S.I.) (1588-1641). "
Luis Berrueco;1717 - 1750;"(1700-) Pintor de Puebla, México. No se sabe con certeza su fecha de nacimiento. Es considerado como el último aprendiz de Juan Correa. La diócesis angelopolitana le comisionó el lienzo “La aparición de San Miguel del Milagro al Indio Lázaro”, por lo cual se cree que fue un artista reconocido en Puebla y Tlaxcala. Su trabajo se caracterizó por tener composiciones complejas y ser de gran formato, con un uso del color en donde predomina la paleta azul, rojo y ocre. Se desconoce su fecha de muerte.

Fuente: “El arte colonial en Puebla” Universidades de Latinoamérica. Año 06, no. 24 (mar. 1955)"
Luis Cadena;1848- 1870;"(1830 - 1889) Pintor ecuatoriano nacido en Machachi. Estudió en el taller de Antonio Salas durante ocho años. Entre 1852 y 1857 estuvo radicado en Santiago de Chile, en donde estudió con el pintor Raymond Monvoisin. Luego, se dirige a Roma a estudiar en la Academia de San Luis en donde trabaja con Alejandro Marini. En 1860 regresa a Quito y funda una escuela de arte. Entre sus discípulos más reconocidos se encuentra Juan Manosalvas. Fallece en Quito en 1889.

Fuente: Pérez, Rodolfo. “Luis Cadena” http://www.diccionariobiograficoecuador.com/tomos/tomo7/c1.htm"
Luis Correa;;
Luis de Carvajal;1577- 1607;"(1556-1607) Pintor español nacido en Toledo. Se educó en Roma en la Academia de San Lucas. Desde 1583 reside y trabaja en Madrid. Su obra se reconoce como Manierista, pero hacia el final de su producción está adquiere un carácter más naturalista sentando bases para el realismo Barroco. 

Fuente: Pérez Sánchez, Alfonso E. Pintura barroca en España 1600-1750.  Madrid: Cátedra, 2005.

https://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/carvajal-luis-de/"
Luis de la Vega Lagarto;1580-1611;"(1556-1619) Iluminador español nacido en Sevilla. Hijo del maestro e iluminador Juan Lagarto de Castro, con quien se entrenó como iluminador. En 1586, Lagarto se traslada a Ciudad de México en donde trabaja iluminando libros de la catedral. En 1600 se dirige a Puebla por una comisión para trabajar con alrededor de 103 libros de su catedral. Durante ese periodo, realizó una serie de pinturas independientes al proyecto. Su producción artística fue religiosa en su totalidad y se inscribe en la corriente manierista.

Fuente: Pierce, Donna.  Painting a new world : Mexican art and life, 1521-1821.  Denver: Frederick and Jan Mayer Center for Pre-Columbian and Spanish Colonial Art, Denver Art Museum, 2004."
